District;Full name of candidate;F;H;18-30;31-65;65+;Commune;#votes;Committee 1
St-Maurice;Quentin Chevalley;;1;1;;;Salvan;36;1
St-Maurice;Emilie Dupuis;1;;1;;;Massongex;50;1
St-Maurice;Alexia Imhof Coutaz;1;;;1;;St-Maurice;16;
St-Maurice;Sandy Marca;1;;1;;;St-Maurice;12;
St-Maurice;Natanaëlle Perrion;1;;;1;;Salvan;31;1
St-Maurice;Améli Pistorius;1;;;1;;Vérossaz;13;
St-Maurice;Martine Rouiller;1;;;1;;St-Maurice;39;1
St-Maurice;Olivier Udriot;;1;;1;;St-Maurice;53;1
St-Maurice;Jenny Voeffray;1;;1;;;Salvan;14;
