District;Full name of candidate;F;H;18-30;31-65;65+;Commune;#votes;Committee 1
Herens;Jacques Blanc;;1;;1;;Ayent;41;1
Herens;Arnaud Gattlen;;1;1;;;Vex;15;
Herens;Yves Jaquier;;1;;1;;Ayent;21;
Herens;Nathalie Mayoraz;1;;;1;;Hérémence;54;1
Herens;Eric Philippoz;;1;;1;;Ayent;27;1
Herens;Eloise Rong;1;;1;;;Evolène;58;1
Herens;Yviane Rouiller;1;;;1;;Mont-Noble;16;
Herens;Marc-André Vuignier;;1;;1;;Evolène;29;1
