Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
Voix recues lors de la primaire;Mara Bruchez, Dominique Bugnon, Cilette Cretton, Virginie Gosset, Jennifer Grinzinger, Marion Mabillard, Catherine Rebord, Véronique Rodriguez, Mirca Sigrist;Léonard Bender, Edouard Carron, Antoine Conforti, Etienne Coquoz, Pascal Crettenand, Tiago Gomez, Johann Roduit, Laurent Salvisberg;de88b378-f10a-4ad2-81b6-0a222fe2881e
Tirage au sort;Lisette Batista, Marie-Bertrande Duay, Virginie Gosset, Jennifer Grinzinger, Marion Mabillard, Loise Pignat, Véronique Zumstein;Léonard Bender, Edouard Carron, Antoine Conforti, Pascal Crettenand, Johann Roduit, Laurent Salvisberg;0ec38692-89fc-4cf6-a53a-5546f899b07f
ordre alphabetique;Marion Mabillard, Véronique Zumstein;Antoine Conforti;348829a6-2179-4265-bb6d-c00645950547
Voix recues lors de la primaire;Jennifer Grinzinger, Loise Pignat;Léonard Bender, Johann Roduit;020d420d-5a8d-4da5-9b7f-9d7840f4865b
Je Mabstiens de repondre a cette question;Mirca Sigrist;Edouard Carron;7ffef4a6-c288-42f6-922d-1270790220fd
Voix recues lors de la primaire;Jennifer Grinzinger;Léonard Bender;e002be31-bad2-4b70-961d-471ebc2d1c6a
Voix recues lors de la primaire;Mara Bruchez, Virginie Gosset, Jennifer Grinzinger, Marion Mabillard, Odile Maury, Loise Pignat, Catherine Rebord, Véronique Rodriguez, Mirca Sigrist;Léonard Bender, Edouard Carron, Antoine Conforti, Etienne Coquoz, Johann Roduit;fbd12930-8618-4af4-bace-7ab8762c4261
Tirage au sort;Marion Mabillard;Etienne Coquoz, Johann Roduit;5f6c71b3-31f6-4afa-854c-11ad20e08121
Voix recues lors de la primaire;Cilette Cretton, Marie-Bertrande Duay, Virginie Gosset, Michelle Grandjean Böhm, Catherine Rebord, Véronique Rodriguez, Véronique Zumstein;Léonard Bender, Antoine Conforti, Etienne Coquoz, Johann Roduit;1cd6192f-9428-4fe3-8882-8149e3e0abf9
Voix recues lors de la primaire;Jennifer Grinzinger;;fed6ca0a-dc55-48a0-8f71-51bf501450cb
ordre alphabetique;Lisette Batista, Mara Bruchez, Dominique Bugnon, Cilette Cretton, Virginie Gosset, Michelle Grandjean Böhm, Véronique Rodriguez;Léonard Bender, Edouard Carron, Antoine Conforti, Etienne Coquoz, Pascal Crettenand, Tiago Gomez, Johann Roduit, Laurent Salvisberg;738c95cc-b28f-4164-934d-16d411f94c6b
Je Mabstiens de repondre a cette question;Mirca Sigrist;Edouard Carron, Johann Roduit;8bfcdd16-e391-4921-940c-2ffc18fc3e9e
Voix recues lors de la primaire;Lisette Batista, Mara Bruchez, Virginie Gosset, Michelle Grandjean Böhm, Marion Mabillard, Loise Pignat, Véronique Rodriguez, Mirca Sigrist;Léonard Bender, Edouard Carron, Johann Roduit;b6ff923c-176d-4fa6-9372-b11c66ff66a9
Voix recues lors de la primaire;Marine Addy, Cilette Cretton, Virginie Gosset, Michelle Grandjean Böhm, Loise Pignat, Mirca Sigrist, Véronique Zumstein;Pascal Crettenand, Tiago Gomez;1d698ee1-75bf-47db-85f6-57d962bc71a9
Je Mabstiens de repondre a cette question;Jennifer Grinzinger;;ec11b7c6-2226-4562-9bf4-f62dafea1871
representativite inverse du Grand Conseil actuel;Marion Mabillard;;f7276d3b-8e1f-42ff-99d7-99b6341b9b25
Voix recues lors de la primaire;Loise Pignat, Mirca Sigrist;Léonard Bender, Edouard Carron;01bae45b-68a6-4a9c-8048-29f7da81ca18
representativite inverse du Grand Conseil actuel;Marine Addy, Mara Bruchez, Marion Mabillard, Loise Pignat, Véronique Rodriguez;Léonard Bender, Etienne Coquoz, Johann Roduit;674aabc7-e47c-40fc-9363-fff16db65b9b
Voix recues lors de la primaire;Mirca Sigrist;Johann Roduit;562e7a8a-6f7d-4fba-a29f-da7e889ed487
Voix recues lors de la primaire;Cilette Cretton, Marion Mabillard;Johann Roduit;fd56626d-4ab0-4a9a-9c39-a8786d2283ed
