Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
ordre alphabetique;Hélène Bourgeois, Bernadette Morand-Aymon, Maryline Morard, Danielle Moulin;Jean-René Beytrison, Jean Bonnard , Roland Puippe, Bernard Reist, Jean-Paul Schroeter, Jean Zermatten;f45e4877-64dc-47ce-88e9-82d399cde60d
Tirage au sort;Bernadette Morand-Aymon, Maryline Morard;Jean Bonnard , Roland Puippe, Bernard Reist, Jean Zermatten;31f752d6-1bf6-43f9-9479-208027ae7072
Tirage au sort;Laura Balma;Denis Mabillard;c3e44388-41e1-4798-b224-765c38664719
ordre alphabetique;;Romain Lapaire;f4128992-1afd-44cf-9faa-0945c2bc269f
Tirage au sort;Marie du Pontavice;Samuel Carruzzo;db53db38-807d-4245-b8c3-38f551c04776
Tirage au sort;Bénédicte Balet, Denyse Betchov, Hélène Bourgeois, Karine Contat, Marie du Pontavice, Maryline Morard, Eve-Lyne Petoud, Emilie Praz, Marie Zimmermann;Jean Bonnard , Samuel Carruzzo, Romain Lapaire, Erwan Pennarun, Bernard Reist, Yann-Philippe Roh, Jean-Marc Salamolard, Emmanuel Théler, Jean Zermatten;4e56eaa8-0fa9-4761-a660-935a82200de3
Tirage au sort;Danielle Moulin;Vincent Luyet;18ea4235-bed8-4cde-b40f-5b56cbff50a7
Tirage au sort;Bénédicte Balet, Denyse Betchov, Hélène Bourgeois, Karine Contat, Marie Zimmermann;Jean Bonnard , Denis Mabillard, Joseph Métrailler, Bernard Reist, Jean Zermatten;f739ea97-6849-4316-bd25-ee2c0cc7080c
Tirage au sort;Laura Balma, Karine Contat;;07b42121-d875-4bd9-9be9-76bef5f9ae27
Voix recues lors de la primaire;Bénédicte Balet, Hélène Bourgeois;Gillian Bruchez, Jean-Paul Schroeter;03f5f218-009c-4055-94da-170f45ed4566
Voix recues lors de la primaire;Bénédicte Balet, Denyse Betchov, Karine Contat, Bernadette Morand-Aymon, Danielle Moulin, Eve-Lyne Petoud, Marie Zimmermann;Jean-René Beytrison, Jean Bonnard , Olivier Marcoz, François Marty, Jean-Yves Riand , Jean-Marc Salamolard, Jean-Paul Schroeter, Jean Zermatten;e031289f-10c9-4be2-8c25-00abf1409f85
ordre alphabetique;Emilie Praz;Vincent Luyet, François Marty, Jean-Marc Salamolard;150724f4-9f79-4e17-91fd-28d3625a6547
Je Mabstiens de repondre a cette question;Sedina Delic Tanovic;Jean Zermatten;a5c8d4f0-4567-4cee-9164-9b36f0fab551
Voix recues lors de la primaire;Laura Balma, Denyse Betchov, Karine Contat, Mélanie De Meo, Sedina Delic Tanovic, Marie du Pontavice, Bernadette Morand-Aymon, Maryline Morard, Emilie Praz;Jean Bonnard , Alexandre Ferchaud, Vincent Luyet, Olivier Marcoz, Erwan Pennarun, Bernard Reist, Jean-Yves Riand , Jean-Paul Schroeter, Jean Zermatten;5da28077-59f4-4392-9bdb-f34d3ed559c1
