District;Full name of candidate;F;H;18-30;31-65;65+;Commune;#votes;Committee 1
Entremont;Valentina Darbellay;1;;;1;;Liddes;18;
Entremont;Marie-Luce Duroux Barman;1;;;1;;Vollèges;19;1
Entremont;Baptiste Fellay;;1;1;;;Orsières;22;1
Entremont;Jasmine Lovey;1;;1;;;Orsières;21;1
Entremont;Jean-François Lovey;;1;;1;;Orsières;29;1
Entremont;Daniel Moulin;;1;;;1;Vollèges;25;1
Entremont;Léna Vaudan;1;;1;;;Bagnes;22;1
