Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Sophie Ducrey, Hélène Gonet, Caroline Mariétan, Christel Rey-Mermet;Thierry Bueche, Bertrand Girard, Matthieu Monnard, Nicolas Muzzetto, Bernard Oberholzer, Johan Rochel;e4ec795f-e3f8-4289-b222-57d2b4175f3f
ordre alphabetique;;André Bonvin;4d41a80c-0378-445d-a0dd-43da991223e2
Voix recues lors de la primaire;Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Françoise Gay-Truffer, Hélène Gonet, Caroline Mariétan, Claudine Oggier, Christel Rey-Mermet;Thierry Bueche, Bertrand Girard, Matthieu Monnard, Bernard Oberholzer, Yves Puippe, Joël Rey-Mermet, Johan Rochel, Christian Vial;4c4ddd35-c695-4ebf-8827-4fd72c92a563
ordre alphabetique;;Didier Cachat;29eb5f4f-10a4-4985-aaac-5c8a91414442
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Françoise Gay-Truffer, Claudine Oggier;Johan Rochel;ffe92855-9d07-482d-87e0-4cd693c16269
representativite inverse du Grand Conseil actuel;Aferdita Bogiqi, Catherine Breu, Sophie Ducrey, Hélène Gonet, Caroline Mariétan, Christel Rey-Mermet;Robert Burri, Matthieu Monnard, Bernard Oberholzer, Jo Piller, Natan Rippa, Johan Rochel;63300b88-f637-4003-a9dd-e40275916f46
Voix recues lors de la primaire;Catherine Breu, Christel Rey-Mermet;André Bonvin, Bertrand Girard, Johan Rochel;a5d10bba-037a-415d-9f3c-0439a9139394
ordre alphabetique;Aferdita Bogiqi, Amel Mahfoudh, Christel Rey-Mermet;André Bonvin, Joël Rey-Mermet;dfd40c7b-5ca6-4007-af6a-4094b28eac31
Voix recues lors de la primaire;Catherine Breu, Stéphanie Dubosson, Françoise Gay-Truffer;Didier Cachat, Bernard Oberholzer, Johan Rochel, Christian Vial;779991a8-ba6a-4e4e-8374-129de7ea88a8
Voix recues lors de la primaire;Sophie Ducrey;Johan Rochel;5fdda5e6-093e-491d-a1e1-7db700a976d4
ordre alphabetique;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Françoise Gay-Truffer, Hélène Gonet, Ekaterina Lenoir, Caroline Mariétan, Christel Rey-Mermet;André Bonvin, Didier Cachat, Bertrand Girard, Jérome Lehmann, Bernard Oberholzer, Jörg Rickenmann, Johan Rochel, Christian Vial;92d7fa7b-361e-4f91-bddd-ec50f903c63b
Voix recues lors de la primaire;Stéphanie Dubosson, Françoise Gay-Truffer, Claudine Oggier;Didier Cachat, Bertrand Girard, Matthieu Monnard, Bernard Oberholzer, Jo Piller;0da6faf1-e18a-46bc-81f3-96b500e642f4
ordre alphabetique;;André Bonvin;b40ef53e-6259-4558-83d3-ceb9f91eaf4b
Je Mabstiens de repondre a cette question;Aferdita Bogiqi;Bertrand Girard;e5a59ad2-de80-4b4f-b168-3cbc1a6e1e78
Voix recues lors de la primaire;Sophie Ducrey, Hélène Gonet, Yasmina Mudry;Natan Rippa, Johan Rochel;e406bd67-2c47-47e3-8183-2ac1954f0613
Je Mabstiens de repondre a cette question;Aferdita Bogiqi, Catherine Breu, Françoise Gay-Truffer, Christel Rey-Mermet;André Bonvin, Robert Burri, Nicolas Muzzetto, Bernard Oberholzer, Jo Piller, Johan Rochel;8cdae82a-d140-46a2-a757-d3b0f3779a82
Voix recues lors de la primaire;Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Françoise Gay-Truffer, Hélène Gonet, Caroline Mariétan, Yasmina Mudry, Claudine Oggier, Christel Rey-Mermet;André Bonvin, Robert Burri, Bertrand Girard, Jérome Lehmann, Matthieu Monnard, Bernard Oberholzer, Jo Piller, Johan Rochel;9fa8bd16-215b-494e-9f3e-9ff751ddd882
ordre alphabetique;Sophie Ducrey;Nicolas Muzzetto;ade63f67-8cb7-4445-b1c9-d092454406b3
Tirage au sort;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Françoise Gay-Truffer, Caroline Mariétan, Yasmina Mudry, Claudine Oggier, Christel Rey-Mermet;Thierry Bueche, Robert Burri, Didier Cachat, Bertrand Girard, Nicolas Muzzetto, Bernard Oberholzer, Jo Piller, Johan Rochel;076e5184-1592-4cf3-a62e-66a367c78a37
Tirage au sort;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Ekaterina Lenoir, Caroline Mariétan, Yasmina Mudry, Christel Rey-Mermet;Didier Cachat, Bertrand Girard, Matthieu Monnard, Bernard Oberholzer, Yves Puippe, Joël Rey-Mermet, Johan Rochel;6f1bb3ba-594d-483c-a62c-2c5109edb2b6
Voix recues lors de la primaire;Sophie Ducrey;;fe5e245b-c901-4c17-b5be-3130bc94a28a
ordre alphabetique;Aferdita Bogiqi, Catherine Breu, Françoise Gay-Truffer, Amel Mahfoudh;Bertrand Girard, Jo Piller, Johan Rochel, Christian Vial;385f4ad6-0223-4957-a1b9-8c81e75e425b
Voix recues lors de la primaire;Stéphanie Dubosson, Caroline Mariétan, Christel Rey-Mermet;Bertrand Girard, Jo Piller;5db9bb4a-b49a-4235-9f2a-8c0d2aaa478e
